year,b,s,t,g,i,r,gdpn,gdp,expend,y,radj
1940,43.6,-2.06,6.7,9.6,2.1018,2.1018,98200,7571.2,730,0,0
1941,41.5,-3.44,7.5,11.7,1.9555,1.6655,116200,9296,1092.2,0.2278,-0.172
1942,45.9,-13.17,9.9,23.8,1.5527,0.9527,147700,12702.2,3021.8,0.3664,-0.2568
1943,69.2,-28.72,13,42.6,1.1967,0.6467,184600,16890.9,7187.8,0.3298,-0.239
1944,86.4,-21.21,20.5,42.7,1.2008,0.8708,213800,20268.2,8655.6,0.2,-0.1566
1945,103.9,-19.63,19.9,41,1.3232,1.0932,226400,21983.4,9002.3,0.0846,-0.0658
1946,106.1,-5.19,17.2,24.2,1.6997,0.9597,228000,23826,5771.7,0.0838,-0.0617
1947,93.9,3.44,16.1,14.4,1.8739,0.7339,238900,27688.5,3998.1,0.1621,-0.1234
1948,82.6,6.16,15.9,11.4,2.0072,0.9072,261900,33235.1,3777.1,0.2003,-0.1502
1949,77.5,1.85,14.3,14,2.1104,1.6804,276500,36276.8,5095.2,0.0915,-0.0645
1950,78.6,0.61,14.2,15.3,2.197,2.377,278675,36060.5,5507.5,-0.006,0.0281
1951,65.5,3.29,15.8,13.9,2.1766,1.4866,327050,44576.9,6203.6,0.2362,-0.1734
1952,60.1,0.89,18.5,19,2.189,1.639,357100,50636.8,9597.9,0.1359,-0.1004
1953,57.2,-0.35,18.2,19.9,2.361,2.101,382050,55168,10989,0.0895,-0.0605
1954,58,0.94,18,18.3,2.143,1.973,387150,56562.6,10351.9,0.0253,-0.0038
1955,55.8,0.46,16.1,16.8,2.1402,2.0302,406325,59811,10075,0.0574,-0.0341
1956,50.7,2.06,17,16.1,2.2862,1.9062,438250,66175.8,10666.6,0.1064,-0.0755
1957,47.3,1.89,17.3,16.5,2.4412,1.8812,463375,72564.5,11992.1,0.0965,-0.0658
1958,47.8,0.6,16.8,17.4,2.476,2.006,473475,76371.5,13291.9,0.0525,-0.0263
1959,46.5,-1.4,15.7,18.3,2.455,2.205,504600,82653.5,15085.7,0.0823,-0.0533
1960,44.3,1.36,17.3,17.3,2.9332,2.7032,534325,88751.4,15312.9,0.0738,-0.0414
1961,43.6,0.62,17.3,17.9,2.8176,2.5976,546575,91988.6,16446.8,0.0365,-0.008
1962,42.3,-0.04,17,18.2,2.7777,2.6077,585675,99564.8,18159.6,0.0824,-0.0504
1963,41.1,0.48,17.2,18,3.0475,2.8475,618200,106330.4,19146.4,0.068,-0.0351
1964,38.8,0.35,17,17.9,3.1921,2.9721,661700,115268.1,20647.6,0.0841,-0.0481
1965,36.8,1.01,16.5,16.7,3.2944,2.9944,709325,125692.4,20950,0.0904,-0.0527
1966,33.8,0.73,16.8,17.2,3.5592,3.1792,780475,141266,24350.3,0.1239,-0.0786
1967,31.9,0.19,17.8,18.8,3.8511,3.3011,836525,156011.9,29367,0.1044,-0.0596
1968,32.3,-1.57,17,19.8,3.8301,3.1801,897575,173232,34379.9,0.1104,-0.0649
1969,28.4,1.63,19.1,18.7,4.5662,3.6862,980275,197819.5,37058.6,0.1419,-0.0843
1970,27.1,1.1,18.4,18.7,5.0777,3.9977,1046675,222523.1,41595,0.1249,-0.0659
1971,27.1,-0.73,16.8,18.8,4.8974,3.8174,1116550,249437.3,46952.4,0.1209,-0.0642
1972,26.5,-0.65,17,19,4.8012,3.7412,1216250,284602.5,53979.4,0.141,-0.0815
1973,25.2,0.18,17.1,18.2,5.089,4.069,1352725,330335.4,60001.6,0.1607,-0.0946
1974,23.2,1.03,17.8,18.2,6.2406,4.5006,1482850,387913.6,70464.3,0.1743,-0.0953
1975,24.6,-1.87,17.4,20.7,5.889,3.189,1606925,463758.6,95911,0.1955,-0.1143
1976,26.7,-2.63,16.7,20.8,5.5984,3.5884,1786100,551369.1,114772.2,0.1889,-0.1118
1977,27.1,-1.17,17.6,20.2,1.4024,-0.8276,2024325,670051.6,135451.2,0.2153,-0.1656
1978,26.7,-1.04,17.6,20.2,5.4454,3.2154,2273450,803209.9,162075,0.1987,-0.1204
1979,25,0.07,18.1,19.6,5.8403,2.9903,2565575,979536.5,192437.9,0.2195,-0.1321
1980,25.5,-0.76,18.5,21.2,6.6582,3.3282,2791900,1158917.7,245299.6,0.1831,-0.0985
1981,25.2,-0.33,19.1,21.6,7.379,3.299,3133225,1428437.3,309210.1,0.2326,-0.1288
1982,27.9,-1.3,18.6,22.5,8.7111,5.5411,3313350,1615589.5,363624.3,0.131,-0.0388
1983,32.2,-3.34,17,22.9,9.1969,7.0669,3536000,1799470.4,411376.4,0.1138,-0.0196
1984,33.1,-1.88,16.9,21.6,7.8968,6.0768,3949175,2081610.1,448986.4,0.1568,-0.0673
1985,35.3,-1.94,17.2,22.2,8.5007,6.7407,4265125,2323213.6,515473.6,0.1161,-0.0278
1986,38.5,-1.88,17,21.9,8.5903,7.3703,4526250,2520668.6,551543.7,0.085,0.0008
1987,39.6,-0.23,17.9,21.1,7.8143,6.5643,4767650,2714699.9,571687.3,0.077,0.0011
1988,39.9,-0.07,17.7,20.7,7.3349,5.4949,5138550,3020439.7,625663.7,0.1126,-0.0353
1989,39.4,0.29,17.8,20.6,7.3992,5.0192,5554675,3397239.2,699513.2,0.1247,-0.0451
1990,40.9,-0.62,17.5,21.2,7.7135,5.4735,5898750,3739807.5,794397.6,0.1008,-0.0215
1991,44.1,-1.23,17.3,21.7,7.6443,5.3843,6093175,4000778.7,869486.8,0.0698,0.0062
1992,46.8,-1.42,17,21.5,7.2312,5.5912,6416250,4318136.3,929769,0.0793,-0.0065
1993,47.9,-0.83,17,20.8,6.6454,5.0654,6775325,4666843.9,970785.1,0.0808,-0.0132
1994,47.8,0,17.5,20.4,6.1173,4.6173,7176850,5051067,1028781.1,0.0823,-0.0195
1995,47.7,0.9,17.9,20,5.9111,4.4111,7560425,5434433.5,1089515.3,0.0759,-0.0156
1996,47,1.68,18.3,19.6,6.4403,5.0903,7951325,5822755.3,1142742.4,0.0715,-0.0066
1997,44.6,2.63,18.7,18.9,6.4555,5.1555,8451025,6298548.9,1193311.8,0.0817,-0.0159
1998,41.7,3.48,19.3,18.5,6.4677,5.5377,8930800,6739181.7,1246944.8,0.07,-0.0049
1999,38.3,3.75,19.3,18,6.4798,5.5098,9479350,7245067.2,1300717.8,0.0751,-0.0096
2000,33.7,4.54,20,17.7,6.3252,4.7552,10117450,7891611,1395381,0.0892,-0.0239
2001,31.5,3.18,18.9,17.7,6.5385,4.6985,10526500,8404357.6,1487296.2,0.065,0.0004
2002,32.7,0.12,17.1,18.6,6.2106,4.9306,10833650,8788256.9,1631237.2,0.0457,0.0157
2003,34.7,-1.99,15.8,19.1,4.8285,3.3485,11283800,9320418.8,1784076.6,0.0606,-0.0116
2004,35.7,-2.1,15.6,19.1,3.9115,1.9315,12025450,10171125.6,1939284.9,0.0913,-0.0478
2005,35.8,-1.05,16.8,19.3,3.7305,1.1505,12834150,11186245.1,2154557.7,0.0998,-0.0568
2006,35.4,-0.16,17.6,19.5,4.0065,1.2165,13638375,12267718.3,2388217.5,0.0967,-0.0516
2007,35.2,0.53,18,19.1,4.6926,2.2426,14290800,13204699.2,2521305.9,0.0764,-0.0274
2008,39.4,-1.4,17.1,20.2,4.7091,2.7991,14743325,13904429.8,2812837.2,0.053,-0.0056
2009,52.3,-8.49,14.6,24.4,4.3556,3.2656,14431800,13767937.2,3355863.9,-0.0098,0.0539
2010,60.8,-7.4,14.6,23.3,2.4773,1.6573,14838850,14277941.5,3326401.4,0.037,-0.0118
2011,65.8,-6.94,15,23.4,2.1754,0.2554,15403675,15117166.6,3536048,0.0588,-0.035
2012,70.3,-5.33,15.3,22,2.2705,0.4105,16056450,16056450,3526563,0.0621,-0.0371
2013,72.2,-2.76,16.7,20.8,1.9538,0.1138,16603775,16909284.5,3518450.8,0.0531,-0.0319
2014,73.7,-1.48,17.4,20.2,1.8434,-0.1166,17335575,17994326.9,3639522.8,0.0642,-0.043
2015,72.4,-1.21,17.9,20.4,1.7915,0.6315,18106075,19004136.3,3874965.8,0.0561,-0.0362
2016,76.2,-1.85,17.6,20.7,1.7015,0.7715,18581650,19676109.2,4079535.1,0.0354,-0.0177
2017,75.9,-2.09,17.2,20.6,1.6942,-0.1858,19316625,20817526.8,4291002.7,0.058,-0.0388
2018,77.3,-2.23,16.3,20.2,1.7903,-0.6997,20368900,22458749.1,4530631.9,0.0788,-0.0565
2019,79.2,-2.87,16.3,21,2.0634,-0.1166,21223850,23864096.9,5000157.3,0.0626,-0.0395
2020,100.1,-13.26,16.3,31.2,2.233,0.823,20999725,23908186.9,7457625.8,0.0018,0.0204
